Train Caffe Model Done,,,,,,,,,,
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10623_left.png ,Level2 PNG ,51.1500%,Level0 PNG ,45.4100%,Level1 PNG ,3.4400%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10481_right.png ,Level1 PNG ,99.9800%,Level2 PNG ,0.0200%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10092_left.png ,Level2 PNG ,97.3500%,Level0 PNG ,1.9200%,Level1 PNG ,0.7300%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1849_left.png ,Level2 PNG ,100%,Level1 PNG ,0%,Level3 PNG ,0%,Level0 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1759_right.png ,Level0 PNG ,55.1900%,Level2 PNG ,33.2200%,Level1 PNG ,10.300%,Level4 PNG ,1.2800%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10009_right.png ,Level0 PNG ,94.6500%,Level2 PNG ,4.5700%,Level1 PNG ,0.7700%,Level3 PNG ,0.0100%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1170_right.png ,Level2 PNG ,98.9400%,Level0 PNG ,1.0500%,Level1 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10206_right.png ,Level1 PNG ,100%,Level2 PNG ,0%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1574_left.png ,Level4 PNG ,93.2900%,Level1 PNG ,3.300%,Level0 PNG ,2.4800%,Level2 PNG ,0.9300%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10550_right.png ,Level0 PNG ,99.9600%,Level3 PNG ,0.0400%,Level2 PNG ,0%,Level1 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1356_left.png ,Level0 PNG ,75.5100%,Level1 PNG ,22.9600%,Level4 PNG ,0.7700%,Level2 PNG ,0.7500%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10255_left.png ,Level0 PNG ,99.2700%,Level4 PNG ,0.3800%,Level1 PNG ,0.200%,Level2 PNG ,0.1500%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1131_left.png ,Level0 PNG ,94.900%,Level2 PNG ,4.9300%,Level1 PNG ,0.1800%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10363_right.png ,Level0 PNG ,97.8600%,Level1 PNG ,2.1400%,Level3 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10437_left.png ,Level0 PNG ,47.6100%,Level2 PNG ,44.7900%,Level3 PNG ,7.4900%,Level1 PNG ,0.1100%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1499_left.png ,Level4 PNG ,97.8700%,Level2 PNG ,0.9800%,Level0 PNG ,0.7400%,Level1 PNG ,0.4100%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10284_left.png ,Level0 PNG ,99.7400%,Level1 PNG ,0.2400%,Level4 PNG ,0.0300%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1147_left.png ,Level0 PNG ,96.4100%,Level1 PNG ,3.4600%,Level4 PNG ,0.1300%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1659_left.png ,Level0 PNG ,100%,Level4 PNG ,0%,Level2 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10646_left.png ,Level1 PNG ,78.8600%,Level0 PNG ,21.1400%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1759_left.png ,Level0 PNG ,99.800%,Level1 PNG ,0.200%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/174_right.png ,Level1 PNG ,100%,Level2 PNG ,0%,Level0 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10585_left.png ,Level0 PNG ,87.9400%,Level2 PNG ,10.8300%,Level1 PNG ,1.2300%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10398_right.png ,Level0 PNG ,100%,Level1 PNG ,0%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1411_left.png ,Level2 PNG ,99.9800%,Level4 PNG ,0.0100%,Level0 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1373_left.png ,Level1 PNG ,92.5600%,Level0 PNG ,7.4400%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1488_right.png ,Level1 PNG ,100%,Level2 PNG ,0%,Level0 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1042_left.png ,Level0 PNG ,99.800%,Level2 PNG ,0.1500%,Level1 PNG ,0.0400%,Level4 PNG ,0.0200%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10605_right.png ,Level2 PNG ,100%,Level0 PNG ,0%,Level4 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1120_right.png ,Level2 PNG ,61.1200%,Level3 PNG ,28.5500%,Level1 PNG ,7.5800%,Level0 PNG ,2.7500%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10260_right.png ,Level2 PNG ,98.0400%,Level4 PNG ,1.3900%,Level0 PNG ,0.5700%,Level3 PNG ,0%,Level1 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10529_left.png ,Level1 PNG ,59.4800%,Level2 PNG ,40.5200%,Level0 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1641_left.png ,Level0 PNG ,61.2700%,Level2 PNG ,38.7100%,Level1 PNG ,0.0200%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1040_left.png ,Level0 PNG ,99.2800%,Level1 PNG ,0.7200%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1859_left.png ,Level0 PNG ,98.5300%,Level1 PNG ,1.1600%,Level2 PNG ,0.300%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10727_right.png ,Level0 PNG ,60.900%,Level1 PNG ,39.100%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1674_left.png ,Level2 PNG ,81.2400%,Level1 PNG ,14.2500%,Level0 PNG ,4.1900%,Level4 PNG ,0.200%,Level3 PNG ,0.1200%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1722_right.png ,Level4 PNG ,99.2700%,Level0 PNG ,0.5900%,Level2 PNG ,0.1100%,Level1 PNG ,0.0200%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10100_left.png ,Level0 PNG ,99.5800%,Level4 PNG ,0.2900%,Level1 PNG ,0.1300%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1307_right.png ,Level1 PNG ,98.7600%,Level0 PNG ,1.2400%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1608_right.png ,Level1 PNG ,59.6100%,Level2 PNG ,39.1700%,Level0 PNG ,1.2200%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10129_right.png ,Level0 PNG ,85.3400%,Level1 PNG ,11.3300%,Level4 PNG ,2.5500%,Level2 PNG ,0.7200%,Level3 PNG ,0.0600%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/164_left.png ,Level2 PNG ,91.7300%,Level0 PNG ,6.2700%,Level1 PNG ,1.9400%,Level4 PNG ,0.0500%,Level3 PNG ,0.0100%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1914_right.png ,Level1 PNG ,66.700%,Level0 PNG ,32.6600%,Level4 PNG ,0.6100%,Level2 PNG ,0.0200%,Level3 PNG ,0.0100%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10130_left.png ,Level0 PNG ,59.1800%,Level1 PNG ,40.8200%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10029_right.png ,Level2 PNG ,73.3200%,Level0 PNG ,26.6800%,Level1 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10569_left.png ,Level1 PNG ,56.0100%,Level2 PNG ,40.8200%,Level0 PNG ,3.1700%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1727_left.png ,Level0 PNG ,100%,Level1 PNG ,0%,Level4 PNG ,0%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1916_left.png ,Level4 PNG ,51.7500%,Level0 PNG ,38.3300%,Level1 PNG ,6.3100%,Level2 PNG ,3.5900%,Level3 PNG ,0.0200%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10353_left.png ,Level0 PNG ,65.1800%,Level1 PNG ,34.8100%,Level3 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10563_left.png ,Level1 PNG ,94.1300%,Level2 PNG ,4.5600%,Level0 PNG ,1.3100%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10594_left.png ,Level0 PNG ,100%,Level2 PNG ,0%,Level4 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1427_right.png ,Level2 PNG ,46.6200%,Level1 PNG ,43.700%,Level0 PNG ,9.6800%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10732_left.png ,Level0 PNG ,98.5100%,Level2 PNG ,1.4900%,Level1 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1855_right.png ,Level0 PNG ,90.0700%,Level1 PNG ,9.2400%,Level2 PNG ,0.5100%,Level3 PNG ,0.1200%,Level4 PNG ,0.0600%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10284_right.png ,Level0 PNG ,99.9900%,Level1 PNG ,0.0100%,Level4 PNG ,0%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10479_left.png ,Level2 PNG ,100%,Level0 PNG ,0%,Level1 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1586_right.png ,Level0 PNG ,51.5800%,Level4 PNG ,38.2100%,Level1 PNG ,7.7100%,Level2 PNG ,2.500%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1356_right.png ,Level1 PNG ,64.0300%,Level0 PNG ,21.6200%,Level3 PNG ,10.9600%,Level2 PNG ,3.3900%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1733_right.png ,Level0 PNG ,65.8100%,Level1 PNG ,29.9500%,Level2 PNG ,4.2400%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10161_right.png ,Level0 PNG ,99.900%,Level1 PNG ,0.100%,Level4 PNG ,0%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1057_left.png ,Level0 PNG ,75.1800%,Level1 PNG ,23.700%,Level2 PNG ,1.1200%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1059_right.png ,Level0 PNG ,49.5700%,Level1 PNG ,47.1700%,Level4 PNG ,3.2300%,Level2 PNG ,0.0300%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1361_right.png ,Level1 PNG ,100%,Level0 PNG ,0%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1799_right.png ,Level1 PNG ,94.5600%,Level0 PNG ,4.3700%,Level2 PNG ,1.0700%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1808_left.png ,Level0 PNG ,95.500%,Level1 PNG ,4.500%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1113_right.png ,Level0 PNG ,97.0400%,Level1 PNG ,2.9600%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1411_right.png ,Level2 PNG ,98.8600%,Level1 PNG ,0.7900%,Level0 PNG ,0.3400%,Level4 PNG ,0.0100%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10452_left.png ,Level1 PNG ,98.0100%,Level0 PNG ,1.9800%,Level2 PNG ,0.0100%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10333_right.png ,Level0 PNG ,90.1200%,Level1 PNG ,9.8800%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10061_left.png ,Level1 PNG ,74.5800%,Level0 PNG ,25.4200%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1799_left.png ,Level1 PNG ,67.0100%,Level0 PNG ,21.7800%,Level2 PNG ,11.200%,Level4 PNG ,0.0100%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10251_left.png ,Level0 PNG ,54.500%,Level4 PNG ,19.3300%,Level2 PNG ,19.3100%,Level1 PNG ,6.5800%,Level3 PNG ,0.2800%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10007_right.png ,Level0 PNG ,99.9900%,Level2 PNG ,0%,Level4 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10295_right.png ,Level2 PNG ,54.900%,Level1 PNG ,44.7100%,Level0 PNG ,0.2400%,Level3 PNG ,0.1500%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1377_right.png ,Level0 PNG ,99.2400%,Level1 PNG ,0.7600%,Level3 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1801_right.png ,Level0 PNG ,92.9800%,Level2 PNG ,7.0200%,Level4 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1044_left.png ,Level4 PNG ,91.3400%,Level0 PNG ,7.00%,Level2 PNG ,1.6500%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10479_right.png ,Level2 PNG ,100%,Level4 PNG ,0%,Level0 PNG ,0%,Level3 PNG ,0%,Level1 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1070_left.png ,Level0 PNG ,98.3500%,Level1 PNG ,1.2900%,Level3 PNG ,0.3100%,Level2 PNG ,0.0400%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10223_right.png ,Level1 PNG ,99.4300%,Level2 PNG ,0.5700%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10100_right.png ,Level0 PNG ,99.9400%,Level1 PNG ,0.0400%,Level4 PNG ,0.0200%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10184_right.png ,Level1 PNG ,100%,Level2 PNG ,0%,Level4 PNG ,0%,Level0 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10194_left.png ,Level1 PNG ,100%,Level0 PNG ,0%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10419_left.png ,Level2 PNG ,100%,Level0 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1035_left.png ,Level1 PNG ,99.8700%,Level2 PNG ,0.1300%,Level0 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10014_left.png ,Level2 PNG ,99.9100%,Level0 PNG ,0.0900%,Level4 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10407_right.png ,Level1 PNG ,95.0400%,Level0 PNG ,4.9600%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1212_right.png ,Level0 PNG ,86.4700%,Level1 PNG ,12.7800%,Level3 PNG ,0.6700%,Level2 PNG ,0.0800%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1242_right.png ,Level1 PNG ,58.6300%,Level0 PNG ,40.3600%,Level2 PNG ,1.0100%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1425_left.png ,Level1 PNG ,93.2300%,Level0 PNG ,6.7700%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1306_right.png ,Level0 PNG ,99.9900%,Level1 PNG ,0.0100%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10206_left.png ,Level2 PNG ,68.6500%,Level1 PNG ,31.3500%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1650_left.png ,Level0 PNG ,77.6300%,Level2 PNG ,22.2700%,Level4 PNG ,0.0700%,Level1 PNG ,0.0300%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10352_left.png ,Level0 PNG ,100%,Level1 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1722_left.png ,Level4 PNG ,49.9400%,Level1 PNG ,49.00%,Level2 PNG ,0.9300%,Level0 PNG ,0.1300%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1557_left.png ,Level2 PNG ,66.2100%,Level0 PNG ,26.9700%,Level3 PNG ,3.7800%,Level1 PNG ,1.8600%,Level4 PNG ,1.1800%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1634_right.png ,Level2 PNG ,100%,Level4 PNG ,0%,Level0 PNG ,0%,Level1 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1051_right.png ,Level2 PNG ,74.1100%,Level1 PNG ,12.6700%,Level0 PNG ,6.6100%,Level3 PNG ,6.600%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10398_left.png ,Level0 PNG ,100%,Level1 PNG ,0%,Level3 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1749_left.png ,Level0 PNG ,75.2100%,Level1 PNG ,23.200%,Level4 PNG ,1.5900%,Level2 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10403_right.png ,Level0 PNG ,96.1500%,Level2 PNG ,3.5400%,Level1 PNG ,0.2800%,Level3 PNG ,0.0300%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1348_right.png ,Level2 PNG ,96.3200%,Level1 PNG ,3.6500%,Level0 PNG ,0.0300%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1836_right.png ,Level0 PNG ,99.9900%,Level1 PNG ,0.0100%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1136_left.png ,Level1 PNG ,69.8300%,Level0 PNG ,30.1700%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/140_right.png ,Level0 PNG ,71.1600%,Level1 PNG ,28.8400%,Level2 PNG ,0%,Level4 PNG ,0%,Level3 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10664_right.png ,Level1 PNG ,64.2100%,Level2 PNG ,27.8300%,Level0 PNG ,7.9600%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/10292_left.png ,Level0 PNG ,98.7100%,Level1 PNG ,1.2900%,Level2 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1480_left.png ,Level1 PNG ,66.8800%,Level0 PNG ,33.0500%,Level2 PNG ,0.0700%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1643_left.png ,Level2 PNG ,79.3400%,Level1 PNG ,20.6500%,Level0 PNG ,0%,Level3 PNG ,0%,Level4 PNG ,0%
/home/ubuntu/ImageDataSet_1000_PNG/Level0_PNG/1260_left.png ,Level0 PNG ,99.9800%,Level1 PNG ,0.0200%,Level3 PNG ,0%,Level2 PNG ,0%,Level4 PNG ,0%
