Train Caffe Model Done,,,,,,,,,,
/home/ubuntu/ImageSet/Level0_PNG/1302_left.png ,Level0 PNG ,97.26%,Level1 PNG ,1.98%,Level2 PNG ,0.72%,Level4 PNG ,0.02%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10194_left.png ,Level2 PNG ,70.65%,Level0 PNG ,17.05%,Level1 PNG ,8.05%,Level4 PNG ,3.78%,Level3 PNG ,0.46%
/home/ubuntu/ImageSet/Level0_PNG/1943_right.png ,Level2 PNG ,62.36%,Level0 PNG ,32.51%,Level1 PNG ,2.48%,Level4 PNG ,2.4%,Level3 PNG ,0.25%
/home/ubuntu/ImageSet/Level0_PNG/1744_left.png ,Level0 PNG ,91.63%,Level1 PNG ,4.82%,Level2 PNG ,2.55%,Level4 PNG ,0.9%,Level3 PNG ,0.1%
/home/ubuntu/ImageSet/Level0_PNG/10429_right.png ,Level0 PNG ,62.65%,Level2 PNG ,23.23%,Level1 PNG ,12.15%,Level4 PNG ,1.71%,Level3 PNG ,0.26%
/home/ubuntu/ImageSet/Level0_PNG/1551_left.png ,Level0 PNG ,78.72%,Level1 PNG ,17.81%,Level2 PNG ,3.06%,Level4 PNG ,0.35%,Level3 PNG ,0.04%
/home/ubuntu/ImageSet/Level0_PNG/1862_left.png ,Level0 PNG ,97.26%,Level1 PNG ,1.98%,Level2 PNG ,0.72%,Level4 PNG ,0.02%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10155_right.png ,Level0 PNG ,59.95%,Level2 PNG ,26.07%,Level1 PNG ,13.23%,Level4 PNG ,0.5%,Level3 PNG ,0.25%
/home/ubuntu/ImageSet/Level0_PNG/10166_left.png ,Level0 PNG ,83.12%,Level2 PNG ,13.98%,Level1 PNG ,2.68%,Level4 PNG ,0.16%,Level3 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/10619_left.png ,Level2 PNG ,49.0%,Level4 PNG ,40.84%,Level1 PNG ,5.97%,Level3 PNG ,2.63%,Level0 PNG ,1.55%
/home/ubuntu/ImageSet/Level0_PNG/10190_left.png ,Level1 PNG ,61.15%,Level0 PNG ,31.62%,Level2 PNG ,7.06%,Level4 PNG ,0.14%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/10548_left.png ,Level0 PNG ,98.78%,Level1 PNG ,0.96%,Level2 PNG ,0.23%,Level4 PNG ,0.03%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1188_left.png ,Level0 PNG ,93.63%,Level2 PNG ,4.5%,Level4 PNG ,1.13%,Level1 PNG ,0.73%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10413_left.png ,Level0 PNG ,98.58%,Level1 PNG ,0.78%,Level2 PNG ,0.63%,Level4 PNG ,0.01%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1667_left.png ,Level0 PNG ,89.53%,Level1 PNG ,4.67%,Level2 PNG ,4.03%,Level3 PNG ,1.4%,Level4 PNG ,0.37%
/home/ubuntu/ImageSet/Level0_PNG/1356_right.png ,Level0 PNG ,84.96%,Level2 PNG ,13.06%,Level1 PNG ,1.8%,Level3 PNG ,0.16%,Level4 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10369_right.png ,Level0 PNG ,62.19%,Level2 PNG ,29.01%,Level1 PNG ,7.96%,Level4 PNG ,0.74%,Level3 PNG ,0.1%
/home/ubuntu/ImageSet/Level0_PNG/164_right.png ,Level2 PNG ,70.65%,Level0 PNG ,17.05%,Level1 PNG ,8.05%,Level4 PNG ,3.78%,Level3 PNG ,0.46%
/home/ubuntu/ImageSet/Level0_PNG/10065_left.png ,Level2 PNG ,62.36%,Level0 PNG ,32.51%,Level1 PNG ,2.48%,Level4 PNG ,2.4%,Level3 PNG ,0.25%
/home/ubuntu/ImageSet/Level0_PNG/1887_right.png ,Level0 PNG ,91.63%,Level1 PNG ,4.82%,Level2 PNG ,2.55%,Level4 PNG ,0.9%,Level3 PNG ,0.1%
/home/ubuntu/ImageSet/Level0_PNG/10608_left.png ,Level0 PNG ,62.65%,Level2 PNG ,23.23%,Level1 PNG ,12.15%,Level4 PNG ,1.71%,Level3 PNG ,0.26%
/home/ubuntu/ImageSet/Level0_PNG/10116_left.png ,Level0 PNG ,78.72%,Level1 PNG ,17.81%,Level2 PNG ,3.06%,Level4 PNG ,0.35%,Level3 PNG ,0.04%
/home/ubuntu/ImageSet/Level0_PNG/10569_left.png ,Level4 PNG ,44.76%,Level2 PNG ,32.12%,Level0 PNG ,12.87%,Level1 PNG ,8.17%,Level3 PNG ,2.08%
/home/ubuntu/ImageSet/Level0_PNG/10115_right.png ,Level1 PNG ,40.91%,Level0 PNG ,36.81%,Level2 PNG ,20.93%,Level4 PNG ,0.86%,Level3 PNG ,0.48%
/home/ubuntu/ImageSet/Level0_PNG/1349_left.png ,Level2 PNG ,70.74%,Level3 PNG ,12.28%,Level4 PNG ,10.57%,Level0 PNG ,5.97%,Level1 PNG ,0.45%
/home/ubuntu/ImageSet/Level0_PNG/1516_right.png ,Level2 PNG ,86.91%,Level4 PNG ,9.74%,Level0 PNG ,3.06%,Level3 PNG ,0.21%,Level1 PNG ,0.08%
/home/ubuntu/ImageSet/Level0_PNG/1504_right.png ,Level0 PNG ,65.28%,Level2 PNG ,30.96%,Level1 PNG ,3.36%,Level4 PNG ,0.35%,Level3 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/10317_right.png ,Level2 PNG ,52.21%,Level0 PNG ,40.34%,Level1 PNG ,6.28%,Level4 PNG ,1.12%,Level3 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/1672_left.png ,Level0 PNG ,90.13%,Level1 PNG ,7.5%,Level2 PNG ,2.28%,Level3 PNG ,0.09%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1396_left.png ,Level0 PNG ,65.95%,Level1 PNG ,33.83%,Level3 PNG ,0.13%,Level2 PNG ,0.09%,Level4 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10242_right.png ,Level0 PNG ,87.43%,Level2 PNG ,4.61%,Level1 PNG ,3.35%,Level4 PNG ,2.55%,Level3 PNG ,2.07%
/home/ubuntu/ImageSet/Level0_PNG/108_right.png ,Level0 PNG ,89.66%,Level1 PNG ,5.06%,Level2 PNG ,3.98%,Level4 PNG ,1.24%,Level3 PNG ,0.07%
/home/ubuntu/ImageSet/Level0_PNG/10502_left.png ,Level0 PNG ,93.17%,Level2 PNG ,6.2%,Level1 PNG ,0.6%,Level4 PNG ,0.02%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1478_right.png ,Level0 PNG ,69.18%,Level1 PNG ,25.62%,Level2 PNG ,4.97%,Level4 PNG ,0.15%,Level3 PNG ,0.08%
/home/ubuntu/ImageSet/Level0_PNG/10374_right.png ,Level0 PNG ,97.49%,Level1 PNG ,1.17%,Level2 PNG ,1.08%,Level4 PNG ,0.25%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10206_left.png ,Level1 PNG ,66.22%,Level2 PNG ,28.28%,Level0 PNG ,5.08%,Level3 PNG ,0.29%,Level4 PNG ,0.14%
/home/ubuntu/ImageSet/Level0_PNG/10293_left.png ,Level0 PNG ,98.72%,Level1 PNG ,0.75%,Level2 PNG ,0.53%,Level4 PNG ,0.0%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/174_left.png ,Level0 PNG ,94.39%,Level2 PNG ,3.87%,Level1 PNG ,1.72%,Level4 PNG ,0.03%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10116_right.png ,Level0 PNG ,39.82%,Level1 PNG ,30.12%,Level2 PNG ,28.94%,Level4 PNG ,0.98%,Level3 PNG ,0.15%
/home/ubuntu/ImageSet/Level0_PNG/1506_right.png ,Level0 PNG ,92.56%,Level1 PNG ,5.22%,Level2 PNG ,2.0%,Level4 PNG ,0.19%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/10729_left.png ,Level0 PNG ,91.93%,Level4 PNG ,4.36%,Level2 PNG ,2.0%,Level1 PNG ,1.68%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/10126_right.png ,Level0 PNG ,87.6%,Level2 PNG ,7.82%,Level1 PNG ,3.82%,Level4 PNG ,0.43%,Level3 PNG ,0.33%
/home/ubuntu/ImageSet/Level0_PNG/1336_right.png ,Level0 PNG ,81.32%,Level1 PNG ,18.51%,Level4 PNG ,0.12%,Level2 PNG ,0.04%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1727_right.png ,Level0 PNG ,61.7%,Level2 PNG ,37.29%,Level1 PNG ,0.92%,Level4 PNG ,0.08%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/1702_right.png ,Level0 PNG ,80.9%,Level1 PNG ,18.8%,Level2 PNG ,0.22%,Level4 PNG ,0.04%,Level3 PNG ,0.04%
/home/ubuntu/ImageSet/Level0_PNG/161_left.png ,Level0 PNG ,40.19%,Level2 PNG ,30.34%,Level1 PNG ,29.2%,Level4 PNG ,0.21%,Level3 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/10092_right.png ,Level0 PNG ,86.24%,Level1 PNG ,7.7%,Level2 PNG ,5.89%,Level4 PNG ,0.11%,Level3 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/10048_left.png ,Level1 PNG ,58.36%,Level0 PNG ,35.87%,Level2 PNG ,5.59%,Level3 PNG ,0.17%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10022_right.png ,Level0 PNG ,78.84%,Level2 PNG ,10.16%,Level1 PNG ,8.88%,Level4 PNG ,1.16%,Level3 PNG ,0.95%
/home/ubuntu/ImageSet/Level0_PNG/1179_left.png ,Level0 PNG ,73.14%,Level1 PNG ,24.77%,Level2 PNG ,1.45%,Level4 PNG ,0.51%,Level3 PNG ,0.13%
/home/ubuntu/ImageSet/Level0_PNG/1387_left.png ,Level0 PNG ,79.53%,Level2 PNG ,9.7%,Level4 PNG ,5.96%,Level1 PNG ,4.8%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10031_right.png ,Level0 PNG ,95.89%,Level4 PNG ,1.64%,Level2 PNG ,1.53%,Level1 PNG ,0.85%,Level3 PNG ,0.1%
/home/ubuntu/ImageSet/Level0_PNG/1059_right.png ,Level0 PNG ,94.32%,Level4 PNG ,2.39%,Level2 PNG ,1.85%,Level1 PNG ,1.41%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/1528_right.png ,Level2 PNG ,59.42%,Level1 PNG ,30.12%,Level0 PNG ,9.59%,Level3 PNG ,0.59%,Level4 PNG ,0.28%
/home/ubuntu/ImageSet/Level0_PNG/125_left.png ,Level0 PNG ,57.6%,Level2 PNG ,40.2%,Level4 PNG ,1.37%,Level1 PNG ,0.76%,Level3 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/10241_right.png ,Level0 PNG ,85.56%,Level1 PNG ,6.92%,Level2 PNG ,6.13%,Level4 PNG ,1.03%,Level3 PNG ,0.37%
/home/ubuntu/ImageSet/Level0_PNG/177_left.png ,Level0 PNG ,41.84%,Level1 PNG ,30.16%,Level2 PNG ,14.74%,Level3 PNG ,13.18%,Level4 PNG ,0.09%
/home/ubuntu/ImageSet/Level0_PNG/122_left.png ,Level0 PNG ,89.25%,Level1 PNG ,9.06%,Level2 PNG ,0.96%,Level4 PNG ,0.68%,Level3 PNG ,0.04%
/home/ubuntu/ImageSet/Level0_PNG/1161_right.png ,Level0 PNG ,98.59%,Level1 PNG ,1.38%,Level2 PNG ,0.02%,Level3 PNG ,0.01%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1377_left.png ,Level0 PNG ,85.84%,Level1 PNG ,12.93%,Level2 PNG ,0.66%,Level3 PNG ,0.31%,Level4 PNG ,0.27%
/home/ubuntu/ImageSet/Level0_PNG/10163_right.png ,Level0 PNG ,88.17%,Level1 PNG ,11.54%,Level2 PNG ,0.22%,Level4 PNG ,0.05%,Level3 PNG ,0.02%
/home/ubuntu/ImageSet/Level0_PNG/1012_left.png ,Level0 PNG ,81.63%,Level2 PNG ,11.96%,Level1 PNG ,5.48%,Level3 PNG ,0.92%,Level4 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/1346_left.png ,Level0 PNG ,42.34%,Level1 PNG ,30.13%,Level2 PNG ,26.26%,Level4 PNG ,0.99%,Level3 PNG ,0.28%
/home/ubuntu/ImageSet/Level0_PNG/1777_right.png ,Level0 PNG ,96.8%,Level1 PNG ,2.42%,Level2 PNG ,0.66%,Level4 PNG ,0.11%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10502_right.png ,Level0 PNG ,94.4%,Level1 PNG ,5.44%,Level2 PNG ,0.15%,Level3 PNG ,0.01%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10448_right.png ,Level0 PNG ,94.14%,Level1 PNG ,5.78%,Level2 PNG ,0.07%,Level3 PNG ,0.0%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10731_left.png ,Level1 PNG ,51.42%,Level2 PNG ,47.74%,Level3 PNG ,0.51%,Level0 PNG ,0.27%,Level4 PNG ,0.07%
/home/ubuntu/ImageSet/Level0_PNG/1907_left.png ,Level0 PNG ,95.96%,Level4 PNG ,2.02%,Level2 PNG ,1.55%,Level1 PNG ,0.35%,Level3 PNG ,0.12%
/home/ubuntu/ImageSet/Level0_PNG/10640_left.png ,Level4 PNG ,44.72%,Level2 PNG ,32.43%,Level0 PNG ,18.97%,Level1 PNG ,2.34%,Level3 PNG ,1.55%
/home/ubuntu/ImageSet/Level0_PNG/1333_right.png ,Level0 PNG ,65.1%,Level1 PNG ,14.35%,Level4 PNG ,13.39%,Level2 PNG ,6.99%,Level3 PNG ,0.17%
/home/ubuntu/ImageSet/Level0_PNG/1480_left.png ,Level1 PNG ,61.64%,Level0 PNG ,24.18%,Level2 PNG ,14.11%,Level3 PNG ,0.05%,Level4 PNG ,0.02%
/home/ubuntu/ImageSet/Level0_PNG/10368_left.png ,Level1 PNG ,84.59%,Level2 PNG ,14.4%,Level0 PNG ,0.69%,Level3 PNG ,0.24%,Level4 PNG ,0.08%
/home/ubuntu/ImageSet/Level0_PNG/10094_left.png ,Level0 PNG ,80.92%,Level2 PNG ,11.31%,Level1 PNG ,7.04%,Level4 PNG ,0.68%,Level3 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/1595_right.png ,Level2 PNG ,86.16%,Level4 PNG ,6.23%,Level3 PNG ,3.71%,Level0 PNG ,2.58%,Level1 PNG ,1.31%
/home/ubuntu/ImageSet/Level0_PNG/10266_right.png ,Level1 PNG ,49.59%,Level2 PNG ,48.47%,Level3 PNG ,0.78%,Level4 PNG ,0.77%,Level0 PNG ,0.39%
/home/ubuntu/ImageSet/Level0_PNG/1786_left.png ,Level2 PNG ,79.43%,Level0 PNG ,15.92%,Level1 PNG ,4.44%,Level4 PNG ,0.16%,Level3 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/10115_left.png ,Level0 PNG ,90.19%,Level2 PNG ,7.08%,Level1 PNG ,2.12%,Level4 PNG ,0.37%,Level3 PNG ,0.23%
/home/ubuntu/ImageSet/Level0_PNG/10199_left.png ,Level1 PNG ,65.47%,Level0 PNG ,28.7%,Level2 PNG ,5.68%,Level3 PNG ,0.09%,Level4 PNG ,0.06%
/home/ubuntu/ImageSet/Level0_PNG/17_left.png ,Level0 PNG ,56.53%,Level1 PNG ,30.37%,Level2 PNG ,12.64%,Level4 PNG ,0.41%,Level3 PNG ,0.04%
/home/ubuntu/ImageSet/Level0_PNG/10644_left.png ,Level0 PNG ,72.02%,Level1 PNG ,24.44%,Level2 PNG ,3.07%,Level4 PNG ,0.29%,Level3 PNG ,0.18%
/home/ubuntu/ImageSet/Level0_PNG/170_right.png ,Level0 PNG ,83.85%,Level1 PNG ,10.66%,Level2 PNG ,5.21%,Level3 PNG ,0.15%,Level4 PNG ,0.13%
/home/ubuntu/ImageSet/Level0_PNG/1869_left.png ,Level2 PNG ,52.73%,Level4 PNG ,33.34%,Level0 PNG ,13.23%,Level3 PNG ,0.39%,Level1 PNG ,0.31%
/home/ubuntu/ImageSet/Level0_PNG/10479_left.png ,Level2 PNG ,84.73%,Level4 PNG ,11.59%,Level0 PNG ,2.2%,Level3 PNG ,1.36%,Level1 PNG ,0.12%
/home/ubuntu/ImageSet/Level0_PNG/1855_right.png ,Level0 PNG ,97.99%,Level1 PNG ,1.71%,Level2 PNG ,0.28%,Level3 PNG ,0.02%,Level4 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10170_left.png ,Level0 PNG ,96.43%,Level2 PNG ,2.48%,Level1 PNG ,0.69%,Level4 PNG ,0.39%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10504_right.png ,Level0 PNG ,70.45%,Level1 PNG ,24.23%,Level2 PNG ,4.16%,Level3 PNG ,0.65%,Level4 PNG ,0.51%
/home/ubuntu/ImageSet/Level0_PNG/1550_left.png ,Level0 PNG ,92.97%,Level1 PNG ,6.24%,Level2 PNG ,0.47%,Level4 PNG ,0.29%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/1040_right.png ,Level1 PNG ,84.67%,Level0 PNG ,9.71%,Level2 PNG ,5.31%,Level4 PNG ,0.23%,Level3 PNG ,0.08%
/home/ubuntu/ImageSet/Level0_PNG/10269_right.png ,Level2 PNG ,43.08%,Level1 PNG ,21.43%,Level4 PNG ,20.36%,Level0 PNG ,15.08%,Level3 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/10326_right.png ,Level0 PNG ,55.98%,Level1 PNG ,31.43%,Level2 PNG ,12.03%,Level3 PNG ,0.43%,Level4 PNG ,0.13%
/home/ubuntu/ImageSet/Level0_PNG/1037_left.png ,Level0 PNG ,35.19%,Level1 PNG ,31.57%,Level2 PNG ,31.34%,Level4 PNG ,1.32%,Level3 PNG ,0.59%
/home/ubuntu/ImageSet/Level0_PNG/1785_right.png ,Level0 PNG ,99.17%,Level1 PNG ,0.41%,Level4 PNG ,0.23%,Level2 PNG ,0.18%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/10475_left.png ,Level1 PNG ,76.17%,Level0 PNG ,21.6%,Level2 PNG ,1.76%,Level3 PNG ,0.27%,Level4 PNG ,0.2%
/home/ubuntu/ImageSet/Level0_PNG/1658_right.png ,Level0 PNG ,84.08%,Level1 PNG ,10.28%,Level2 PNG ,5.42%,Level4 PNG ,0.18%,Level3 PNG ,0.04%
/home/ubuntu/ImageSet/Level0_PNG/1226_right.png ,Level2 PNG ,77.39%,Level1 PNG ,20.59%,Level4 PNG ,1.51%,Level3 PNG ,0.27%,Level0 PNG ,0.24%
/home/ubuntu/ImageSet/Level0_PNG/1096_right.png ,Level0 PNG ,90.04%,Level2 PNG ,6.3%,Level1 PNG ,2.16%,Level4 PNG ,1.49%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/1212_left.png ,Level0 PNG ,73.07%,Level1 PNG ,22.46%,Level2 PNG ,3.98%,Level4 PNG ,0.29%,Level3 PNG ,0.19%
/home/ubuntu/ImageSet/Level0_PNG/10695_left.png ,Level2 PNG ,75.88%,Level0 PNG ,19.85%,Level4 PNG ,3.33%,Level1 PNG ,0.92%,Level3 PNG ,0.02%
/home/ubuntu/ImageSet/Level0_PNG/10161_right.png ,Level0 PNG ,88.49%,Level1 PNG ,6.35%,Level2 PNG ,2.41%,Level4 PNG ,2.35%,Level3 PNG ,0.41%
/home/ubuntu/ImageSet/Level0_PNG/1516_left.png ,Level2 PNG ,86.65%,Level1 PNG ,7.73%,Level0 PNG ,5.17%,Level4 PNG ,0.31%,Level3 PNG ,0.14%
/home/ubuntu/ImageSet/Level0_PNG/1332_left.png ,Level0 PNG ,69.83%,Level2 PNG ,29.03%,Level1 PNG ,0.57%,Level4 PNG ,0.56%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/10658_left.png ,Level0 PNG ,70.6%,Level2 PNG ,16.13%,Level1 PNG ,11.39%,Level4 PNG ,1.54%,Level3 PNG ,0.34%
/home/ubuntu/ImageSet/Level0_PNG/1669_left.png ,Level0 PNG ,96.68%,Level2 PNG ,1.66%,Level1 PNG ,1.26%,Level4 PNG ,0.38%,Level3 PNG ,0.02%
/home/ubuntu/ImageSet/Level0_PNG/1057_left.png ,Level0 PNG ,77.62%,Level2 PNG ,18.69%,Level1 PNG ,2.73%,Level4 PNG ,0.84%,Level3 PNG ,0.12%
/home/ubuntu/ImageSet/Level0_PNG/10078_right.png ,Level0 PNG ,87.63%,Level1 PNG ,10.33%,Level2 PNG ,1.58%,Level4 PNG ,0.41%,Level3 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/10218_left.png ,Level0 PNG ,68.01%,Level2 PNG ,19.39%,Level1 PNG ,9.82%,Level4 PNG ,1.62%,Level3 PNG ,1.16%
/home/ubuntu/ImageSet/Level0_PNG/1504_left.png ,Level0 PNG ,94.26%,Level2 PNG ,2.85%,Level1 PNG ,2.32%,Level4 PNG ,0.43%,Level3 PNG ,0.15%
/home/ubuntu/ImageSet/Level0_PNG/10377_right.png ,Level0 PNG ,73.47%,Level2 PNG ,17.73%,Level1 PNG ,5.56%,Level3 PNG ,1.72%,Level4 PNG ,1.52%
/home/ubuntu/ImageSet/Level0_PNG/10367_right.png ,Level0 PNG ,81.56%,Level1 PNG ,11.02%,Level2 PNG ,7.3%,Level4 PNG ,0.1%,Level3 PNG ,0.01%
/home/ubuntu/ImageSet/Level0_PNG/1309_right.png ,Level2 PNG ,86.62%,Level1 PNG ,13.14%,Level3 PNG ,0.14%,Level4 PNG ,0.06%,Level0 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/10310_left.png ,Level1 PNG ,70.85%,Level0 PNG ,28.65%,Level2 PNG ,0.49%,Level3 PNG ,0.02%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1199_right.png ,Level2 PNG ,86.56%,Level1 PNG ,12.69%,Level0 PNG ,0.43%,Level3 PNG ,0.2%,Level4 PNG ,0.12%
/home/ubuntu/ImageSet/Level0_PNG/10059_left.png ,Level0 PNG ,99.25%,Level1 PNG ,0.5%,Level2 PNG ,0.14%,Level4 PNG ,0.11%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1294_right.png ,Level0 PNG ,46.76%,Level2 PNG ,28.71%,Level1 PNG ,23.55%,Level3 PNG ,0.65%,Level4 PNG ,0.34%
/home/ubuntu/ImageSet/Level0_PNG/1299_right.png ,Level0 PNG ,70.14%,Level2 PNG ,16.57%,Level1 PNG ,11.83%,Level4 PNG ,1.26%,Level3 PNG ,0.2%
/home/ubuntu/ImageSet/Level0_PNG/1370_left.png ,Level0 PNG ,83.06%,Level1 PNG ,14.8%,Level2 PNG ,1.39%,Level4 PNG ,0.71%,Level3 PNG ,0.05%
/home/ubuntu/ImageSet/Level0_PNG/167_right.png ,Level1 PNG ,60.67%,Level2 PNG ,33.27%,Level3 PNG ,4.79%,Level0 PNG ,0.92%,Level4 PNG ,0.35%
/home/ubuntu/ImageSet/Level0_PNG/10352_left.png ,Level0 PNG ,87.4%,Level2 PNG ,11.24%,Level1 PNG ,1.34%,Level4 PNG ,0.02%,Level3 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1088_right.png ,Level0 PNG ,64.57%,Level1 PNG ,26.73%,Level2 PNG ,8.36%,Level4 PNG ,0.25%,Level3 PNG ,0.09%
/home/ubuntu/ImageSet/Level0_PNG/1727_left.png ,Level0 PNG ,88.02%,Level1 PNG ,8.32%,Level2 PNG ,3.64%,Level3 PNG ,0.02%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1487_right.png ,Level0 PNG ,98.78%,Level2 PNG ,0.75%,Level1 PNG ,0.46%,Level3 PNG ,0.0%,Level4 PNG ,0.0%
/home/ubuntu/ImageSet/Level0_PNG/1872_left.png ,Level0 PNG ,90.53%,Level2 PNG ,5.03%,Level1 PNG ,3.5%,Level4 PNG ,0.92%,Level3 PNG ,0.03%
/home/ubuntu/ImageSet/Level0_PNG/10207_right.png ,Level2 PNG ,60.9%,Level1 PNG ,38.21%,Level3 PNG ,0.65%,Level4 PNG ,0.14%,Level0 PNG ,0.1%
/home/ubuntu/ImageSet/Level0_PNG/1142_left.png ,Level2 PNG ,46.85%,Level1 PNG ,42.8%,Level0 PNG ,9.59%,Level4 PNG ,0.57%,Level3 PNG ,0.19%
/home/ubuntu/ImageSet/Level0_PNG/1832_right.png ,Level0 PNG ,44.03%,Level2 PNG ,22.73%,Level4 PNG ,19.33%,Level3 PNG ,9.04%,Level1 PNG ,4.87%
/home/ubuntu/ImageSet/Level0_PNG/1586_right.png ,Level4 PNG ,47.92%,Level2 PNG ,41.74%,Level1 PNG ,7.04%,Level3 PNG ,2.08%,Level0 PNG ,1.22%
/home/ubuntu/ImageSet/Level0_PNG/1240_right.png ,Level0 PNG ,89.77%,Level2 PNG ,9.41%,Level1 PNG ,0.53%,Level4 PNG ,0.27%,Level3 PNG ,0.02%
